date,Temperature,Humidity,CO2
2021-02-02 0:00,23.7,26.272,749.2
2021-02-03 0:00,23.718,26.29,760.4
2021-02-04 0:00,23.73,26.23,769.6666667
2021-02-05 0:00,23.7225,26.125,774.75
2021-02-06 0:00,23.754,26.2,779
2021-02-07 0:00,23.76,26.26,790
2021-02-08 0:00,23.73,26.29,798
2021-02-09 0:00,23.754,26.29,797
2021-02-10 0:00,23.754,26.35,803.2
2021-02-11 0:00,23.736,26.39,809
2021-02-12 0:00,23.745,26.445,815.25
2021-02-13 0:00,23.7,26.56,824
2021-02-14 0:00,23.7,26.6,832
2021-02-15 0:00,23.7,26.7,845.3333333
2021-02-16 0:00,23.7,26.774,852.4
2021-02-17 0:00,23.7,26.89,861
2021-02-18 0:00,23.7,26.9725,880
2021-02-19 0:00,23.6,26.89,891
2021-02-20 0:00,23.64,26.976,897.6
2021-02-21 0:00,23.65,27.05,900.5
2021-02-22 0:00,23.64,27.1,908.8
2021-02-23 0:00,23.6,27.16,918
2021-02-24 0:00,23.6,27.236,925.2
2021-02-25 0:00,23.6,27.29,929.4
2021-02-26 0:00,23.6,27.33,936.4
2021-02-27 0:00,23.6,27.34,950
2021-02-28 0:00,23.625,27.3925,961
2021-03-01 0:00,23.6,27.39,963
2021-03-02 0:00,23.6,27.412,958.6
2021-03-03 0:00,23.6,27.5,965.3333333
2021-03-04 0:00,23.6,27.525,979.25
2021-03-05 0:00,23.6,27.6,978.4285714
2021-03-06 0:00,23.6,27.6,983
2021-03-07 0:00,23.6,27.54,992.6
2021-03-08 0:00,23.6,27.6,997.2
2021-03-09 0:00,23.61666667,27.63333333,999.5
2021-03-10 0:00,23.66666667,27.7,1001
2021-03-11 0:00,23.6,27.7,1009.5
2021-03-12 0:00,23.6,27.7225,1019
2021-03-13 0:00,23.6,27.79,1021
2021-03-14 0:00,23.6,27.85666667,1024.666667
2021-03-15 0:00,23.6,27.80428571,1030.428571
2021-03-16 0:00,23.575,27.79,1026.25
2021-03-17 0:00,23.54,27.81,1028
2021-03-18 0:00,23.6,27.978,1034.8
2021-03-19 0:00,23.525,28,1055.5
2021-03-20 0:00,23.5,27.978,1055.25
2021-03-21 0:00,23.5,28,1050
2021-03-22 0:00,23.5,28,1051.25
2021-03-23 0:00,23.5,28,1053.6
2021-03-24 0:00,23.5,28,1055.5
2021-03-25 0:00,23.5,28.025,1055
2021-03-26 0:00,23.445,28.125,1059.5
2021-03-27 0:00,23.39,28.18,1060
2021-03-28 0:00,23.39,28.2,1073.6
2021-03-29 0:00,23.39,28.2,1078.6
2021-03-30 0:00,23.39,28.2,1081
2021-03-31 0:00,23.39,28.2225,1082
2021-04-01 0:00,23.39,28.37333333,1088.833333
2021-04-02 0:00,23.37,28.39,1090.6
2021-04-03 0:00,23.39,28.32333333,1086
2021-04-04 0:00,23.37333333,28.445,1092.5
2021-04-05 0:00,23.39,28.5,1103.75
2021-04-06 0:00,23.32333333,28.5,1104.5
2021-04-07 0:00,23.365,28.5,1103.5
2021-04-08 0:00,23.29,28.5,1112
2021-04-09 0:00,23.30666667,28.53333333,1105.666667
2021-04-10 0:00,23.29,28.7,1104
2021-04-11 0:00,23.29,28.7,1117.2
2021-04-12 0:00,23.29,28.675,1121.25
2021-04-13 0:00,23.29,28.61666667,1115.666667
2021-04-14 0:00,23.29,28.66,1120
2021-04-15 0:00,23.29,28.55,1123.75
2021-04-16 0:00,23.29,28.6,1116
2021-04-17 0:00,23.272,28.6,1126.8
2021-04-18 0:00,23.2,28.4175,1112.75
2021-04-19 0:00,23.23,28.5,1104.5
2021-04-20 0:00,23.29,28.5,1108
2021-04-21 0:00,23.215,28.63333333,1127.833333
2021-04-22 0:00,23.2,28.6,1128.75
2021-04-23 0:00,23.2,28.65,1124.25
2021-04-24 0:00,23.2,28.62,1130.4
2021-04-25 0:00,23.2,28.7,1138
2021-04-26 0:00,23.2,28.7,1144
2021-04-27 0:00,23.2,28.718,1140
2021-04-28 0:00,23.2,28.79,1139.25
2021-04-29 0:00,23.2,28.79,1167.333333
2021-04-30 0:00,23.14,28.79,1159.6
2021-05-01 0:00,23.15,28.89,1157.75
2021-05-02 0:00,23.15,28.89,1159.5
2021-05-03 0:00,23.18,28.83,1156.4
2021-05-04 0:00,23.11666667,28.945,1160
2021-05-05 0:00,23.14,28.956,1169.8
2021-05-06 0:00,23.1,29,1176.166667
2021-05-07 0:00,23.1,29.075,1175.25
2021-05-08 0:00,23.1,28.918,1166.6
2021-05-09 0:00,23.1,27.925,1140.25
2021-05-10 0:00,23.06,27.772,1089.2
2021-05-11 0:00,23.02,27.556,1042.6
2021-05-12 0:00,23.01,27.81883333,1051.1
2021-05-13 0:00,23,28.08166667,1059.6
2021-05-14 0:00,23,27.956,1064.6
2021-05-15 0:00,22.98166667,27.90833333,1061.666667
2021-05-16 0:00,23,27.92666667,1058.333333
2021-05-17 0:00,23,28.018,1061.6
2021-05-18 0:00,22.98166667,28.06666667,1070.333333
2021-05-19 0:00,22.945,28.1,1074
2021-05-20 0:00,23,28.1,1086.25
2021-05-21 0:00,22.956,28.2,1089.6
2021-05-22 0:00,22.9725,28.1,1085
2021-05-23 0:00,22.945,28.13333333,1085
2021-05-24 0:00,23,28.2,1088
2021-05-25 0:00,22.945,28.2,1091.75
2021-05-26 0:00,23,28.13333333,1091.333333
2021-05-27 0:00,22.912,28.1,1088.2
2021-05-28 0:00,22.89,28.1,1087.5
2021-05-29 0:00,22.89,27.956,1079.2
2021-05-30 0:00,22.865,27.84,1077.25
2021-05-31 0:00,22.87333333,27.68333333,1064.166667
2021-06-01 0:00,22.87333333,27.6,1056.4
2021-06-02 0:00,22.89,27.6,1043.6
2021-06-03 0:00,22.815,27.445,1039.5
2021-06-04 0:00,22.84,27.37333333,1028.666667
2021-06-05 0:00,22.79,27.365,1020.4
2021-06-06 0:00,22.79,27.2,1018
2021-06-07 0:00,22.79,27.17142857,1015.142857
2021-06-08 0:00,22.79,27.06666667,1006.333333
2021-06-09 0:00,22.79,27.02,1002.6
2021-06-10 0:00,22.772,26.934,993.2
2021-06-11 0:00,22.76,26.82333333,983.3333333
2021-06-12 0:00,22.7,26.754,976.2
2021-06-13 0:00,22.7225,26.7,980.75
2021-06-14 0:00,22.7,26.68333333,971.3333333
2021-06-15 0:00,22.7,26.53333333,966.6666667
2021-06-16 0:00,22.7,26.46333333,963
2021-06-17 0:00,22.7,26.445,952.3333333
2021-06-18 0:00,22.7,26.34,948
2021-06-19 0:00,22.7,26.26,945
2021-06-20 0:00,22.7,26.2,941.6
2021-06-21 0:00,22.7,26.16,929.8
2021-06-22 0:00,22.7,26.02,923.8
2021-06-23 0:00,22.7,26.1,919
2021-06-24 0:00,22.7,26,918.25
2021-06-25 0:00,22.7,25.934,919.4
2021-06-26 0:00,22.7,25.92666667,927.3333333
2021-06-27 0:00,22.7,25.815,920.25
2021-06-28 0:00,22.68,25.772,902.4
2021-06-29 0:00,22.64,25.696,904.4
2021-06-30 0:00,22.6,25.575,897
2021-07-01 0:00,22.66666667,25.6,892
2021-07-02 0:00,22.6,25.525,882.5
2021-07-03 0:00,22.62,25.476,887.2
2021-07-04 0:00,22.625,25.55,889.25
2021-07-05 0:00,22.6,25.39,889.2
2021-07-06 0:00,22.65,25.42,880.75
2021-07-07 0:00,22.6,25.2675,868.75
2021-07-08 0:00,22.6,25.218,861
2021-07-09 0:00,22.6,25.2,860.6
2021-07-10 0:00,22.6,25.2,864
2021-07-11 0:00,22.6,25.15,859
2021-07-12 0:00,22.6,25.14,854.4
2021-07-13 0:00,22.6,25.15,847.4
2021-07-14 0:00,22.6,25.04,837.2
2021-07-15 0:00,22.6,25.05,834.75
2021-07-16 0:00,22.6,25.06,832.4
2021-07-17 0:00,22.6,25,832
2021-07-18 0:00,22.6,25,836.25
2021-07-19 0:00,22.6,25,832.6
2021-07-20 0:00,22.6,25.025,821.5
2021-07-21 0:00,22.6,25.1,832.4
2021-07-22 0:00,22.6,25.08,832.4
2021-07-23 0:00,22.56,25.02,830.75
2021-07-24 0:00,22.58,25.08,821.5
2021-07-25 0:00,22.575,25.075,818.25
2021-07-26 0:00,22.56,24.912,819.8
2021-07-27 0:00,22.55,25.2,822.5
2021-07-28 0:00,22.6,24.9175,818
2021-07-29 0:00,22.58,25.06,812.8
2021-07-30 0:00,22.56666667,24.90833333,816.5
2021-07-31 0:00,22.525,24.945,822.25
2021-08-01 0:00,22.54,24.89,825
2021-08-02 0:00,22.5,24.865,816.5
2021-08-03 0:00,22.5,24.9175,811.5
2021-08-04 0:00,22.5,24.91166667,811
2021-08-05 0:00,22.56,24.81,812.2
2021-08-06 0:00,22.525,24.89,814.25
2021-08-07 0:00,22.52,24.976,824
2021-08-08 0:00,22.575,25.075,834.5
2021-08-09 0:00,22.6,25,837
2021-08-10 0:00,22.6,25.02142857,841.1666667
2021-08-11 0:00,22.6,25.04285714,845.3333333
2021-08-12 0:00,22.6,25.1,854.75
2021-08-13 0:00,22.6,25.1,850.3333333
2021-08-14 0:00,22.6,25.08,845.4
2021-08-15 0:00,22.6,25.16666667,854.3333333
2021-08-16 0:00,22.6,25.06666667,849.3333333
2021-08-17 0:00,22.6,25.2,853
2021-08-18 0:00,22.6,25.2,853
2021-08-19 0:00,22.54,25.16,852
2021-08-20 0:00,22.54,25.16,853.6
2021-08-21 0:00,22.54,25.14,845.6
2021-08-22 0:00,22.525,25.1,834.25
2021-08-23 0:00,22.5,25.04,826.4
2021-08-24 0:00,22.5,25,819.6
2021-08-25 0:00,22.5,25,829.6
2021-08-26 0:00,22.5,25,824
2021-08-27 0:00,22.5,24.912,814.2
2021-08-28 0:00,22.5,24.89,813.5
2021-08-29 0:00,22.5,24.89,813.8
2021-08-30 0:00,22.5,24.89,811
2021-08-31 0:00,22.478,24.87,804.6
2021-09-01 0:00,22.456,24.83,807.8
2021-09-02 0:00,22.5,24.85666667,802.3333333
2021-09-03 0:00,22.4175,24.7475,796.75
2021-09-04 0:00,22.456,24.81,794.4
2021-09-05 0:00,22.39,24.7,790.6
2021-09-06 0:00,22.4175,24.7225,789.75
2021-09-07 0:00,22.39,24.7,782.2
2021-09-08 0:00,22.39,24.7225,772.25
2021-09-09 0:00,22.39,24.71708333,772.925
2021-09-10 0:00,22.39,24.71166667,773.6
2021-09-11 0:00,22.39,24.625,773.75
2021-09-12 0:00,22.39,24.754,771.8
2021-09-13 0:00,22.39,24.912,782.8
2021-09-14 0:00,22.39,25.245,796.5
2021-09-15 0:00,22.39,25.0925,809
2021-09-16 0:00,22.39,25,805.5
2021-09-17 0:00,22.35,24.978,791.4
2021-09-18 0:00,22.32333333,25,779.3333333
2021-09-19 0:00,22.365,24.9725,780.75
2021-09-20 0:00,22.315,24.89,781.75
2021-09-21 0:00,22.29,24.9175,781
2021-09-22 0:00,22.29,24.912,778.4
2021-09-23 0:00,22.26,24.85666667,769.3333333
2021-09-24 0:00,22.254,24.85,766.5
2021-09-25 0:00,22.23,24.79333333,763.25
2021-09-26 0:00,22.26,24.82333333,762.3333333
2021-09-27 0:00,22.2,24.79,761.5
2021-09-28 0:00,22.2,24.79,761
2021-09-29 0:00,22.2,24.736,757
2021-09-30 0:00,22.2,24.79,752.3333333
2021-10-01 0:00,22.13333333,24.7,748.6666667
2021-10-02 0:00,22.1,24.7,746.25
2021-10-03 0:00,22.15,24.7225,745.25
2021-10-04 0:00,22.1,24.7,740.6666667
2021-10-05 0:00,22.1,24.7,738
2021-10-06 0:00,22.13333333,24.7,732.6666667
2021-10-07 0:00,22.1,24.7,727
2021-10-08 0:00,22.1,24.675,716
2021-10-09 0:00,22.06666667,24.66666667,723.25
2021-10-10 0:00,22.06666667,24.66666667,718.3333333
2021-10-11 0:00,22,24.58,716.6
2021-10-12 0:00,21.978,24.6,714
2021-10-13 0:00,21.978,24.56,714.2
2021-10-14 0:00,21.945,24.6,715
2021-10-15 0:00,21.92666667,24.5,706.6666667
2021-10-16 0:00,21.89,24.5,706
2021-10-17 0:00,21.89,24.525,698.75
2021-10-18 0:00,21.89,24.5,692.5
2021-10-19 0:00,21.89,24.5,694.75
2021-10-20 0:00,21.815,24.4175,697.25
2021-10-21 0:00,21.82333333,24.46333333,692
2021-10-22 0:00,21.79,24.39,691
2021-10-23 0:00,21.79,24.39,689.75
2021-10-24 0:00,21.79,24.39,689
2021-10-25 0:00,21.7675,24.39,687
2021-10-26 0:00,21.7675,24.365,679.75
2021-10-27 0:00,21.754,24.35,668.4
2021-10-28 0:00,21.7,24.29,665.6666667
2021-10-29 0:00,21.7,24.29,664.75
2021-10-30 0:00,21.7,24.29,668
2021-10-31 0:00,21.7,24.29,661.25
2021-11-01 0:00,21.64,24.236,658.2
2021-11-02 0:00,21.6,24.2,656
2021-11-03 0:00,21.6,24.2,654.8
2021-11-04 0:00,21.6,24.2225,653.75
2021-11-05 0:00,21.5,24.26,650.3333333
2021-11-06 0:00,21.5,24.2,650.75
2021-11-07 0:00,21.55,24.2,648.25
2021-11-08 0:00,21.5,24.2,640.3333333
2021-11-09 0:00,21.5,24.2,638
2021-11-10 0:00,21.5,24.2,636.25
2021-11-11 0:00,21.5,24.2,636.3333333
2021-11-12 0:00,21.5,24.15,635.75
2021-11-13 0:00,21.5,24.175,635.5
2021-11-14 0:00,21.5,24.125,627.5
2021-11-15 0:00,21.5,24.15,626.25
2021-11-16 0:00,21.5,24.125,621.5
2021-11-17 0:00,21.5,24.1,621.75
2021-11-18 0:00,21.5,24.1,620.6666667
2021-11-19 0:00,21.5,24.1,617
2021-11-20 0:00,21.5,24.1,612.75
2021-11-21 0:00,21.4725,24.075,614.5
2021-11-22 0:00,21.39,24,617.3333333
2021-11-23 0:00,21.42666667,23.92666667,614.25
2021-11-24 0:00,21.39,23.9725,610.75
2021-11-25 0:00,21.39,23.9175,603
2021-11-26 0:00,21.39,23.945,603.5
2021-11-27 0:00,21.365,23.89,602
2021-11-28 0:00,21.32333333,24,605.6666667
2021-11-29 0:00,21.34,23.9725,604.5
