no,date,Temperature,Humidity,CO2
1,2000-01-31 0:00,23.18,27.272,721.25
2,2000-02-01 0:00,23.15,27.2675,714
3,2000-02-02 0:00,23.15,27.245,713.5
4,2000-02-03 0:00,23.15,27.2,708.25
5,2000-02-04 0:00,23.1,27.2,704.5
6,2000-02-05 0:00,23.1,27.2,701
7,2000-02-06 0:00,23.1,27.2,701.6666667
8,2000-02-07 0:00,23.1,27.2,699
9,2000-02-08 0:00,23.1,27.2,689.3333333
10,2000-02-09 0:00,23.075,27.175,688
11,2000-02-10 0:00,23.075,27.15,690.25
12,2000-02-11 0:00,23.1,27.1,691
13,2000-02-12 0:00,23.1,27.16666667,683.5
14,2000-02-13 0:00,23.05,27.15,687.5
15,2000-02-14 0:00,23,27.125,686
16,2000-02-15 0:00,23,27.125,680.5
17,2000-02-16 0:00,23,27.2,681.5
18,2000-02-17 0:00,22.945,27.29,685
19,2000-02-18 0:00,22.945,27.39,685
20,2000-02-19 0:00,22.89,27.39,689
21,2000-02-20 0:00,22.89,27.39,689.5
22,2000-02-21 0:00,22.89,27.39,689
23,2000-02-22 0:00,22.89,27.445,691
24,2000-02-23 0:00,22.89,27.5,688
25,2000-02-24 0:00,22.89,27.5,689.5
26,2000-02-25 0:00,22.79,27.445,689
27,2000-02-26 0:00,22.79,27.5,685.6666667
28,2000-02-27 0:00,22.79,27.5,687
29,2000-02-28 0:00,22.79,27.5,688
30,2000-02-29 0:00,22.745,27.5,670
31,2000-03-01 0:00,22.7,27.46333333,668.6666667
32,2000-03-02 0:00,22.7,27.5,670
33,2000-03-03 0:00,22.7,27.5,667
34,2000-03-04 0:00,22.66666667,27.42666667,664.5
35,2000-03-05 0:00,22.7,27.6,670
36,2000-03-06 0:00,22.6,27.42666667,670.3333333
37,2000-03-07 0:00,22.6,27.39,672
38,2000-03-08 0:00,22.6,27.35666667,658
39,2000-03-09 0:00,22.6,27.445,660.5
40,2000-03-10 0:00,22.6,27.42666667,658
41,2000-03-11 0:00,22.6,27.445,655
42,2000-03-12 0:00,22.6,27.445,654.25
43,2000-03-13 0:00,22.6,27.39,648
44,2000-03-14 0:00,22.5,27.32333333,648.6666667
45,2000-03-15 0:00,22.5,27.445,646
46,2000-03-16 0:00,22.5,27.5,646
47,2000-03-17 0:00,22.5,27.445,641.5
48,2000-03-18 0:00,22.39,27.29,639
49,2000-03-19 0:00,22.5,27.5,640
50,2000-03-20 0:00,22.39,27.34,630.5
51,2000-03-21 0:00,22.39,27.35666667,629.3333333
52,2000-03-22 0:00,22.39,27.5,632
53,2000-03-23 0:00,22.39,27.5,636.5
54,2000-03-24 0:00,22.39,27.5,627.5
55,2000-03-25 0:00,22.39,27.39,626
56,2000-03-26 0:00,22.39,27.5,625.5
57,2000-03-27 0:00,22.34,27.39,623.5
58,2000-03-28 0:00,22.39,27.46333333,624.6666667
59,2000-03-29 0:00,22.39,27.39,622
60,2000-03-30 0:00,22.29,27.39,621
61,2000-03-31 0:00,22.34,27.39,626.5
62,2000-04-01 0:00,22.29,27.39,622
63,2000-04-02 0:00,22.39,27.39,620
64,2000-04-03 0:00,22.29,27.39,621.5
65,2000-04-04 0:00,22.29,27.35666667,616.3333333
66,2000-04-05 0:00,22.29,27.34,609
67,2000-04-06 0:00,22.29,27.39,614
68,2000-04-07 0:00,22.29,27.34,613.5
69,2000-04-08 0:00,22.29,27.34,611
70,2000-04-09 0:00,22.29,27.39,612
71,2000-04-10 0:00,22.29,27.29,608
72,2000-04-11 0:00,22.29,27.29,605.5
73,2000-04-12 0:00,22.2675,27.315,608.5
74,2000-04-13 0:00,22.2,27.29,608.5
75,2000-04-14 0:00,22.245,27.29,602.5
76,2000-04-15 0:00,22.2,27.29,598
77,2000-04-16 0:00,22.2,27.29,595
78,2000-04-17 0:00,22.2,27.29,591
79,2000-04-18 0:00,22.245,27.245,591
80,2000-04-19 0:00,22.2,27.2,595
81,2000-04-20 0:00,22.2,27.29,594.3333333
82,2000-04-21 0:00,22.2,27.29,593.5
83,2000-04-22 0:00,22.2,27.29,592
84,2000-04-23 0:00,22.15,27.245,586.5
85,2000-04-24 0:00,22.2,27.2,586
86,2000-04-25 0:00,22.15,27.245,586
87,2000-04-26 0:00,22.2,27.245,584.5
88,2000-04-27 0:00,22.1,27.245,584.5
89,2000-04-28 0:00,22.1,27.2,585.5
90,2000-04-29 0:00,22.13333333,27.2,584.6666667
91,2000-04-30 0:00,22.2,27.2,577
92,2000-05-01 0:00,22.1,27.2,580
93,2000-05-02 0:00,22.125,27.2,582
94,2000-05-03 0:00,22.2,27.2,580
95,2000-05-04 0:00,22.1,27.15,578
96,2000-05-05 0:00,22.1,27.2,576.5
97,2000-05-06 0:00,22.1,27.2,580
98,2000-05-07 0:00,22.1,27.2,572.5
99,2000-05-08 0:00,22.1,27.2,567
100,2000-05-09 0:00,22.1,27.2,568
101,2000-05-10 0:00,22.1,27.2,574.5
102,2000-05-11 0:00,22.1,27.2,564.3333333
103,2000-05-12 0:00,22.1,27.2,563
104,2000-05-13 0:00,22.1,27.15,564.5
105,2000-05-14 0:00,22.06666667,27.16666667,566.3333333
106,2000-05-15 0:00,22.1,27.1,562
107,2000-05-16 0:00,22,27.1,565.5
108,2000-05-17 0:00,22,27.1,570
109,2000-05-18 0:00,22.05,27.15,562
110,2000-05-19 0:00,22,27.1,560
111,2000-05-20 0:00,22,27.1,558
112,2000-05-21 0:00,22,27.1,556
113,2000-05-22 0:00,22,27.1,557
114,2000-05-23 0:00,21.9175,27.1,556.5
115,2000-05-24 0:00,21.945,27.1,557.5
116,2000-05-25 0:00,21.92666667,27.1,555
117,2000-05-26 0:00,21.89,27.1,555
118,2000-05-27 0:00,21.89,27.1,553
119,2000-05-28 0:00,21.89,27.1,549.5
120,2000-05-29 0:00,21.89,27.1,548.5
121,2000-05-30 0:00,21.89,27.1,551.5
122,2000-05-31 0:00,21.89,27.1,548.5
123,2000-06-01 0:00,21.89,27.1,548
124,2000-06-02 0:00,21.89,27.1,547.5
125,2000-06-03 0:00,21.89,27.1,553
126,2000-06-04 0:00,21.84,27.1,547.5
127,2000-06-05 0:00,21.85666667,27.1,548.6666667
128,2000-06-06 0:00,21.79,27.1,540
129,2000-06-07 0:00,21.79,27.1,538
130,2000-06-08 0:00,21.79,27.1,542
131,2000-06-09 0:00,21.79,27.1,542
132,2000-06-10 0:00,21.79,27.1,538
133,2000-06-11 0:00,21.79,27.1,537.6666667
134,2000-06-12 0:00,21.79,27.1,537.5
135,2000-06-13 0:00,21.79,27.1,536
136,2000-06-14 0:00,21.745,27.1,534.5
137,2000-06-15 0:00,21.7,27.1,532.5
138,2000-06-16 0:00,21.76,27.1,530
139,2000-06-17 0:00,21.745,27.05,529.5
140,2000-06-18 0:00,21.79,27.05,531
141,2000-06-19 0:00,21.73,27,533.3333333
142,2000-06-20 0:00,21.745,27,531
143,2000-06-21 0:00,21.745,27,529
144,2000-06-22 0:00,21.745,27,528.5
145,2000-06-23 0:00,21.7,27,525
146,2000-06-24 0:00,21.7,27,528.5
147,2000-06-25 0:00,21.7,27,530.5
148,2000-06-26 0:00,21.7,26.89,528
149,2000-06-27 0:00,21.7,26.89,526
150,2000-06-28 0:00,21.7,26.89,530
151,2000-06-29 0:00,21.7,26.89,533.3333333
152,2000-06-30 0:00,21.7,26.89,529
153,2000-07-01 0:00,21.7,26.89,528
154,2000-07-02 0:00,21.7,26.89,526
155,2000-07-03 0:00,21.7,26.89,526
156,2000-07-04 0:00,21.7,26.79,521
157,2000-07-05 0:00,21.7,26.79,518
158,2000-07-06 0:00,21.7,26.79,515.5
159,2000-07-07 0:00,21.7,26.79,520
160,2000-07-08 0:00,21.7,26.7675,523.5
161,2000-07-09 0:00,21.7,26.79,525.5
162,2000-07-10 0:00,21.7,26.79,525.5
163,2000-07-11 0:00,21.7,26.79,514
164,2000-07-12 0:00,21.7,26.7,518
165,2000-07-13 0:00,21.7,26.7,518
166,2000-07-14 0:00,21.7,26.7,520
167,2000-07-15 0:00,21.6,26.7,521
168,2000-07-16 0:00,21.6,26.6,518
169,2000-07-17 0:00,21.6,26.65,517
170,2000-07-18 0:00,21.6,26.6,511.5
171,2000-07-19 0:00,21.65,26.65,514
172,2000-07-20 0:00,21.6,26.55,515.5
173,2000-07-21 0:00,21.6,26.5,517
174,2000-07-22 0:00,21.6,26.5,515
175,2000-07-23 0:00,21.6,26.5,512
176,2000-07-24 0:00,21.6,26.5,515
177,2000-07-25 0:00,21.65,26.55,511
178,2000-07-26 0:00,21.6,26.5,514
179,2000-07-27 0:00,21.6,26.445,508
180,2000-07-28 0:00,21.6,26.4725,509.75
181,2000-07-29 0:00,21.6,26.445,508.75
182,2000-07-30 0:00,21.6,26.445,508.5
183,2000-07-31 0:00,21.6,26.39,507
184,2000-08-01 0:00,21.6,26.39,507
185,2000-08-02 0:00,21.6,26.39,503.5
186,2000-08-03 0:00,21.6,26.39,504
187,2000-08-04 0:00,21.6,26.39,504
188,2000-08-05 0:00,21.575,26.315,500.5
189,2000-08-06 0:00,21.6,26.29,500
190,2000-08-07 0:00,21.6,26.29,503.5
191,2000-08-08 0:00,21.55,26.245,503
192,2000-08-09 0:00,21.55,26.245,502.5
193,2000-08-10 0:00,21.5,26.2,502
194,2000-08-11 0:00,21.56666667,26.2,502
195,2000-08-12 0:00,21.5,26.2,502.5
196,2000-08-13 0:00,21.5,26.2,497
197,2000-08-14 0:00,21.5,26.15,501.5
